Date,Campaign type,Impressions,Clicks,Cost,Conversions,Revenue
2024-02-16,Search & content,473.0,99.0,171.4,17.0,3295.7
2024-02-16,Shopping,13969.0,159.0,63.6,8.0,1262.3
2024-02-17,Search & content,479.0,80.0,131.5,12.0,676.5
2024-02-17,Shopping,13876.0,164.0,63.4,5.0,527.4
2024-02-18,Search & content,760.0,89.0,115.2,8.0,1426.2
2024-02-18,Shopping,12560.0,140.0,61.5,1.0,74.2
2024-02-19,Search & content,600.0,119.0,188.6,21.0,194.0
2024-02-19,Shopping,12015.0,115.0,52.5,2.0,250.2
2024-02-20,Search & content,499.0,110.0,147.3,14.0,557.8
2024-02-20,Shopping,11656.0,100.0,51.3,4.0,74.7
2024-02-21,Search & content,354.0,92.0,146.0,17.0,860.9
2024-02-21,Shopping,13006.0,149.0,64.7,4.0,463.6
2024-02-22,Search & content,391.0,91.0,144.6,9.0,115.7
2024-02-22,Shopping,12669.0,144.0,73.0,4.0,546.5
2024-02-23,Search & content,517.0,107.0,195.3,15.0,215.3
2024-02-23,Shopping,14055.0,133.0,60.6,2.0,223.0
2024-02-24,Search & content,400.0,96.0,143.4,11.0,2507.6
2024-02-24,Shopping,11694.0,141.0,74.2,4.0,356.3
2024-02-25,Search & content,384.0,92.0,127.0,13.0,332.1
2024-02-25,Shopping,12540.0,143.0,74.6,0.0,0.0
2024-02-26,Search & content,472.0,112.0,146.5,16.0,173.0
2024-02-26,Shopping,11946.0,147.0,73.6,7.0,990.9
2024-02-27,Search & content,446.0,107.0,182.3,12.0,2146.7
2024-02-27,Shopping,13206.0,149.0,68.4,3.0,62.9
2024-02-28,Search & content,554.0,119.0,185.0,21.0,322.8
2024-02-28,Shopping,11534.0,137.0,62.8,6.0,129.8
2024-02-29,Search & content,515.0,125.0,203.7,15.0,2691.5
2024-02-29,Shopping,13411.0,141.0,70.8,4.0,729.7
2024-03-01,Search & content,269.0,60.0,60.6,6.0,753.0
2024-03-01,Shopping,11676.0,154.0,75.5,6.0,449.1
2024-03-02,Search & content,643.0,57.0,50.8,4.0,1913.5
2024-03-02,Shopping,13390.0,175.0,75.7,4.0,163.2
2024-03-03,Search & content,536.0,84.0,99.9,9.0,1376.9
2024-03-03,Shopping,13064.0,160.0,69.3,9.0,840.9
2024-03-04,Search & content,452.0,79.0,109.0,9.0,1223.9
2024-03-04,Shopping,17163.0,208.0,87.9,10.0,1009.2
2024-03-05,Search & content,768.0,145.0,206.9,23.0,4840.2
2024-03-05,Shopping,63625.0,675.0,616.3,16.0,2345.0
2024-03-06,Search & content,692.0,130.0,210.6,24.0,8044.8
2024-03-06,Shopping,58096.0,606.0,608.5,16.0,1495.0
2024-03-07,Search & content,772.0,135.0,218.8,16.0,4107.6
2024-03-07,Shopping,38530.0,422.0,613.7,8.0,613.6
2024-03-08,Search & content,792.0,117.0,155.8,8.0,4485.2
2024-03-08,Shopping,46815.0,500.0,412.5,12.0,1379.2
2024-03-09,Search & content,779.0,122.0,177.7,13.0,2096.4
2024-03-09,Shopping,57476.0,642.0,683.4,16.0,2008.0
2024-03-10,Search & content,777.0,120.0,162.1,12.0,2038.9
2024-03-10,Shopping,37896.0,412.0,565.5,8.0,918.3
2024-03-11,Search & content,703.0,145.0,229.2,17.0,5089.1
2024-03-11,Shopping,54917.0,584.0,701.5,20.0,2397.1
2024-03-12,Search & content,756.0,128.0,181.0,17.0,3192.1
2024-03-12,Shopping,20213.0,240.0,173.9,10.0,2998.6
2024-03-13,Search & content,1132.0,153.0,230.9,24.0,6127.5
2024-03-13,Shopping,13722.0,178.0,109.0,8.0,610.2
2024-03-14,Search & content,1345.0,148.0,201.6,22.0,5093.3
2024-03-14,Shopping,16219.0,179.0,99.4,5.0,394.0
2024-03-15,Search & content,993.0,132.0,197.7,12.0,2004.4
2024-03-15,Shopping,17282.0,196.0,94.5,6.0,675.5
2024-03-16,Search & content,1369.0,164.0,188.8,13.0,2327.0
2024-03-16,Shopping,13239.0,184.0,102.7,9.0,1147.6
2024-03-17,Search & content,759.0,155.0,230.2,20.0,3420.4
2024-03-17,Shopping,11912.0,170.0,105.2,5.0,430.9
2024-03-18,Search & content,1128.0,171.0,223.0,22.0,3449.0
2024-03-18,Shopping,14092.0,202.0,102.4,4.0,298.0
2024-03-19,Search & content,1164.0,193.0,209.4,13.0,1700.7
2024-03-19,Shopping,16822.0,190.0,102.3,9.0,1262.1
2024-03-20,Search & content,1596.0,214.0,223.7,31.0,10654.1
2024-03-20,Shopping,15760.0,180.0,100.9,8.0,760.0
2024-03-21,Search & content,1500.0,154.0,194.2,17.0,2277.1
2024-03-21,Shopping,15891.0,188.0,99.7,7.0,671.5
2024-03-22,Search & content,1760.0,244.0,223.6,11.0,2610.3
2024-03-22,Shopping,15012.0,205.0,89.6,4.0,239.9
2024-03-23,Search & content,919.0,128.0,106.9,13.0,1593.9
2024-03-23,Shopping,14090.0,188.0,88.4,11.0,2412.5
2024-03-24,Search & content,964.0,116.0,135.5,12.0,1597.7
2024-03-24,Shopping,12646.0,188.0,90.8,9.0,814.1
2024-03-25,Search & content,1115.0,202.0,249.7,24.0,4831.5
2024-03-25,Shopping,16911.0,209.0,99.0,8.0,727.0
2024-03-26,Search & content,1090.0,180.0,214.0,11.0,1810.9
2024-03-26,Shopping,16039.0,212.0,99.9,8.0,2496.4
2024-03-27,Search & content,1009.0,161.0,215.8,16.0,2802.4
2024-03-27,Shopping,14336.0,222.0,99.3,14.0,2068.6
2024-03-28,Search & content,1230.0,199.0,227.6,16.0,4881.3
2024-03-28,Shopping,18509.0,224.0,102.3,9.0,669.6
2024-03-29,Search & content,1100.0,205.0,205.9,9.0,988.9
2024-03-29,Shopping,14784.0,200.0,93.6,4.0,373.4
2024-03-30,Search & content,1493.0,230.0,145.1,12.0,1526.5
2024-03-30,Shopping,14356.0,208.0,93.2,11.0,1054.6
2024-03-31,Search & content,971.0,137.0,105.8,12.0,2827.4
2024-03-31,Shopping,15524.0,185.0,85.5,8.0,665.7
2024-04-01,Search & content,676.0,134.0,175.1,18.0,2822.3
2024-04-01,Shopping,20913.0,240.0,125.3,8.0,596.2
2024-04-02,Search & content,654.0,139.0,162.4,15.0,2871.4
2024-04-02,Shopping,21944.0,255.0,123.0,15.0,2640.9
2024-04-03,Search & content,801.0,136.0,140.8,12.0,9700.6
2024-04-03,Shopping,17863.0,256.0,123.1,9.0,965.8
2024-04-04,Search & content,951.0,132.0,151.1,17.0,3614.2
2024-04-04,Shopping,21796.0,244.0,110.7,12.0,2984.6
2024-04-05,Search & content,1028.0,157.0,163.5,20.0,4454.2
2024-04-05,Shopping,18767.0,227.0,114.9,13.0,1608.7
2024-04-06,Search & content,809.0,139.0,156.0,18.0,2527.8
2024-04-06,Shopping,15106.0,216.0,120.0,11.0,1010.7
2024-04-07,Search & content,536.0,108.0,128.4,19.0,2398.6
2024-04-07,Shopping,15968.0,222.0,127.3,13.0,1101.2
2024-04-08,Search & content,780.0,156.0,229.3,23.0,5191.3
2024-04-08,Shopping,18283.0,244.0,123.9,5.0,817.3
2024-04-09,Search & content,799.0,160.0,215.7,28.0,4530.8
2024-04-09,Shopping,21388.0,232.0,123.9,8.0,772.6
2024-04-10,Search & content,1843.0,188.0,216.8,29.0,5202.5
2024-04-10,Shopping,21337.0,258.0,124.9,8.0,1298.6
2024-04-11,Search & content,884.0,166.0,196.2,27.0,4099.0
2024-04-11,Shopping,20662.0,237.0,128.3,7.0,1076.8
2024-04-12,Search & content,1370.0,184.0,255.9,38.0,8987.6
2024-04-12,Shopping,19452.0,217.0,121.4,9.0,1029.6
2024-04-13,Search & content,664.0,120.0,179.8,23.0,3189.2
2024-04-13,Shopping,17404.0,234.0,120.7,10.0,1082.3
2024-04-14,Search & content,615.0,112.0,161.8,21.0,3067.1
2024-04-14,Shopping,19809.0,265.0,123.7,6.0,869.6
2024-04-15,Search & content,983.0,164.0,227.7,33.0,8296.8
2024-04-15,Shopping,16719.0,258.0,126.3,11.0,1350.7
2024-04-16,Search & content,1102.0,150.0,233.9,30.0,5930.7
2024-04-16,Shopping,19603.0,281.0,117.0,12.0,3363.4
2024-04-17,Search & content,960.0,168.0,235.5,24.0,5414.8
2024-04-17,Shopping,22296.0,290.0,126.5,13.0,2418.5
2024-04-18,Search & content,1209.0,158.0,181.0,28.0,4336.6
2024-04-18,Shopping,18974.0,240.0,125.2,8.0,813.4
2024-04-19,Search & content,1675.0,144.0,161.3,20.0,4328.6
2024-04-19,Shopping,17898.0,223.0,118.6,10.0,1429.2
2024-04-20,Search & content,1148.0,120.0,147.4,18.0,2631.5
2024-04-20,Shopping,17196.0,213.0,118.5,5.0,832.2
2024-04-21,Search & content,1288.0,139.0,187.2,24.0,4348.9
2024-04-21,Shopping,16849.0,229.0,126.4,9.0,1164.6
2024-04-22,Search & content,931.0,156.0,191.6,24.0,5854.3
2024-04-22,Shopping,20542.0,221.0,130.2,8.0,783.9
2024-04-23,Search & content,760.0,133.0,204.0,24.0,7477.5
2024-04-23,Shopping,21419.0,239.0,130.7,13.0,3424.9
2024-04-24,Search & content,706.0,120.0,184.4,24.0,4473.3
2024-04-24,Shopping,23608.0,256.0,124.3,11.0,3288.8
2024-04-25,Search & content,974.0,133.0,197.8,25.0,4168.6
2024-04-25,Shopping,22622.0,251.0,131.3,15.0,1562.6
2024-04-26,Search & content,860.0,117.0,149.0,16.0,2301.4
2024-04-26,Shopping,22205.0,259.0,129.0,8.0,1394.1
2024-04-27,Search & content,1056.0,104.0,129.5,16.0,2468.1
2024-04-27,Shopping,18048.0,224.0,126.2,9.0,1342.2
2024-04-28,Search & content,935.0,106.0,137.2,15.0,1950.0
2024-04-28,Shopping,18516.0,244.0,121.5,9.0,1171.2
2024-04-29,Search & content,912.0,164.0,216.9,24.0,3753.5
2024-04-29,Shopping,17778.0,223.0,123.9,11.0,878.5
2024-04-30,Search & content,651.0,150.0,220.8,26.0,4649.0
2024-04-30,Shopping,15787.0,201.0,109.2,8.0,526.6
2024-05-01,Search & content,1293.0,148.0,202.5,26.0,5484.9
2024-05-01,Shopping,16464.0,192.0,124.7,10.0,1079.3
2024-05-02,Search & content,1123.0,129.0,189.0,21.0,4892.2
2024-05-02,Shopping,15481.0,178.0,126.6,5.0,366.8
2024-05-03,Search & content,848.0,104.0,128.3,17.0,3790.9
2024-05-03,Shopping,14064.0,210.0,125.3,11.0,1251.2
2024-05-04,Search & content,717.0,104.0,117.2,12.0,1745.9
2024-05-04,Shopping,16940.0,244.0,123.2,6.0,692.8
2024-05-05,Search & content,733.0,106.0,134.7,16.0,2918.0
2024-05-05,Shopping,20554.0,278.0,116.8,12.0,2145.6
2024-05-06,Search & content,1294.0,145.0,208.0,27.0,5858.6
2024-05-06,Shopping,20159.0,279.0,123.7,8.0,711.9
2024-05-07,Search & content,1020.0,152.0,203.5,30.0,4945.7
2024-05-07,Shopping,20412.0,274.0,126.4,6.0,1400.9
2024-05-08,Search & content,787.0,157.0,182.4,26.0,4941.5
2024-05-08,Shopping,20774.0,302.0,121.9,14.0,2991.2
2024-05-09,Search & content,982.0,140.0,149.3,20.0,5155.6
2024-05-09,Shopping,20941.0,244.0,99.3,4.0,447.3
2024-05-10,Search & content,976.0,120.0,146.8,18.0,2549.9
2024-05-10,Shopping,22860.0,247.0,96.9,12.0,1998.5
2024-05-11,Search & content,699.0,100.0,107.3,9.0,1696.4
2024-05-11,Shopping,13478.0,220.0,85.7,16.0,2609.3
2024-05-12,Search & content,532.0,66.0,77.2,13.0,2357.6
2024-05-12,Shopping,15408.0,228.0,101.9,9.0,944.8
2024-05-13,Search & content,848.0,119.0,174.2,16.0,3515.6
2024-05-13,Shopping,18629.0,253.0,131.4,8.0,1256.5
2024-05-14,Search & content,771.0,132.0,149.1,21.0,2449.3
2024-05-14,Shopping,19266.0,238.0,131.0,8.0,1039.3
2024-05-15,Search & content,1033.0,94.0,129.9,12.0,1984.6
2024-05-15,Shopping,19940.0,231.0,127.7,10.0,821.9
2024-05-16,Search & content,969.0,97.0,121.7,16.0,3154.5
2024-05-16,Shopping,22809.0,269.0,130.6,8.0,715.1
2024-05-17,Search & content,822.0,118.0,130.6,19.0,4076.5
2024-05-17,Shopping,19926.0,245.0,124.6,12.0,1594.5
2024-05-18,Search & content,774.0,100.0,95.7,14.0,1580.7
2024-05-18,Shopping,19045.0,254.0,127.2,9.0,686.7
2024-05-19,Search & content,728.0,71.0,92.1,14.0,2819.4
2024-05-19,Shopping,20660.0,270.0,125.3,10.0,1145.5
2024-05-20,Search & content,1052.0,115.0,139.3,21.0,4436.3
2024-05-20,Shopping,19966.0,260.0,125.4,12.0,1596.2
2024-05-21,Search & content,1549.0,164.0,162.8,24.0,5456.7
2024-05-21,Shopping,17442.0,236.0,125.3,8.0,982.8
2024-05-22,Search & content,1858.0,146.0,121.3,11.0,2691.6
2024-05-22,Shopping,16960.0,274.0,124.6,6.0,1262.6
2024-05-23,Search & content,1327.0,117.0,137.6,7.0,797.2
2024-05-23,Shopping,19576.0,292.0,126.2,5.0,480.7
2024-05-24,Search & content,1046.0,132.0,135.6,5.0,739.8
2024-05-24,Shopping,19180.0,268.0,124.9,6.0,2113.9
2024-05-25,Search & content,606.0,72.0,75.3,4.0,510.9
2024-05-25,Shopping,14658.0,219.0,108.6,2.0,135.8
2024-05-26,Search & content,566.0,92.0,131.6,6.0,587.1
2024-05-26,Shopping,13977.0,250.0,112.7,2.0,207.7
2024-05-27,Search & content,765.0,106.0,106.0,10.0,1402.4
2024-05-27,Shopping,13648.0,231.0,94.8,1.0,61.1
2024-05-28,Search & content,617.0,139.0,140.0,25.0,5134.1
2024-05-28,Shopping,14765.0,238.0,101.3,12.0,1392.2
2024-05-29,Search & content,772.0,108.0,110.6,20.0,7226.4
2024-05-29,Shopping,14674.0,232.0,98.4,9.0,1149.5
2024-05-30,Search & content,997.0,82.0,79.8,15.0,3467.4
2024-05-30,Shopping,14115.0,233.0,95.0,11.0,1084.3
2024-05-31,Search & content,1037.0,91.0,82.7,16.0,3262.4
2024-05-31,Shopping,16536.0,251.0,98.1,17.0,3631.5
2024-06-01,Search & content,458.0,87.0,87.4,22.0,2817.5
2024-06-01,Shopping,12424.0,222.0,95.9,10.0,1487.8
2024-06-02,Search & content,592.0,80.0,100.2,16.0,2834.7
2024-06-02,Shopping,12572.0,192.0,92.5,19.0,2718.8
2024-06-03,Search & content,1347.0,122.0,145.8,24.0,5192.7
2024-06-03,Shopping,16704.0,200.0,111.0,9.0,1394.2
2024-06-04,Search & content,992.0,121.0,150.6,28.0,5443.0
2024-06-04,Shopping,15872.0,215.0,120.2,12.0,1158.7
2024-06-05,Search & content,375.0,15.0,18.7,5.0,626.3
2024-06-05,Shopping,17806.0,212.0,126.1,5.0,492.1
2024-06-06,Search & content,368.0,9.0,10.2,1.0,113.6
2024-06-06,Shopping,18168.0,228.0,117.5,12.0,1561.7
2024-06-07,Search & content,152.0,12.0,11.5,2.0,166.7
2024-06-07,Shopping,22092.0,237.0,119.3,12.0,1200.5
2024-06-08,Search & content,156.0,12.0,10.9,2.0,392.6
2024-06-08,Shopping,15900.0,211.0,117.6,9.0,1474.3
2024-06-09,Search & content,210.0,14.0,12.8,4.0,376.0
2024-06-09,Shopping,21687.0,219.0,123.7,10.0,816.8
2024-06-10,Search & content,171.0,11.0,11.2,3.0,598.7
2024-06-10,Shopping,17838.0,224.0,141.3,11.0,1453.0
2024-06-11,Search & content,180.0,12.0,10.1,2.0,142.0
2024-06-11,Shopping,21246.0,239.0,116.1,12.0,1965.8
2024-06-12,Search & content,227.0,13.0,10.9,4.0,915.7
2024-06-12,Shopping,19557.0,232.0,118.0,18.0,2295.9
2024-06-13,Search & content,193.0,11.0,12.3,4.0,907.6
2024-06-13,Shopping,15100.0,212.0,115.4,12.0,2039.6
2024-06-14,Search & content,232.0,10.0,11.7,6.0,1049.8
2024-06-14,Shopping,14970.0,207.0,117.7,15.0,1952.5
2024-06-15,Search & content,295.0,8.0,10.4,1.0,192.1
2024-06-15,Shopping,13153.0,214.0,107.1,12.0,1606.4
2024-06-16,Search & content,286.0,13.0,12.3,0.0,0.0
2024-06-16,Shopping,11533.0,207.0,109.5,14.0,1284.2
2024-06-17,Search & content,201.0,9.0,11.0,3.0,485.5
2024-06-17,Shopping,15692.0,230.0,118.3,19.0,1852.4
2024-06-18,Search & content,361.0,10.0,11.9,3.0,1006.9
2024-06-18,Shopping,16645.0,204.0,102.7,12.0,1139.5
2024-06-19,Search & content,154.0,11.0,12.3,3.0,843.7
2024-06-19,Shopping,12556.0,207.0,121.0,15.0,1438.5
2024-06-20,Search & content,87.0,10.0,11.8,3.0,245.2
2024-06-20,Shopping,12675.0,189.0,116.5,12.0,1581.3
2024-06-21,Search & content,132.0,9.0,12.4,7.0,5354.8
2024-06-21,Shopping,14576.0,215.0,123.0,13.0,1505.3
2024-06-22,Search & content,96.0,4.0,9.7,0.0,0.0
2024-06-22,Shopping,12647.0,199.0,118.1,9.0,757.5
2024-06-23,Search & content,243.0,7.0,11.8,3.0,493.9
2024-06-23,Shopping,12930.0,204.0,114.4,11.0,1193.2
2024-06-24,Search & content,262.0,12.0,13.8,2.0,186.5
2024-06-24,Shopping,17761.0,222.0,124.0,13.0,1152.0
2024-06-25,Search & content,200.0,9.0,11.2,1.0,299.6
2024-06-25,Shopping,20139.0,221.0,126.9,8.0,784.5
2024-06-26,Search & content,285.0,8.0,9.0,2.0,181.7
2024-06-26,Shopping,17225.0,226.0,128.8,6.0,654.9
2024-06-27,Search & content,649.0,144.0,183.2,14.0,1921.7
2024-06-27,Shopping,19852.0,206.0,114.7,4.0,297.6
2024-06-28,Search & content,540.0,98.0,157.2,13.0,2321.6
2024-06-28,Shopping,15266.0,229.0,129.9,8.0,2522.0
2024-06-29,Search & content,365.0,87.0,133.7,15.0,4178.8
2024-06-29,Shopping,14916.0,247.0,129.4,10.0,1239.9
2024-06-30,Search & content,303.0,69.0,99.2,11.0,1721.7
2024-06-30,Shopping,11646.0,186.0,94.3,6.0,826.3
